sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
CYBERUSDT,DGBUSDT,0.04,-3.44,-3.37,125.58,25
OPUSDT,MINAUSDT,0.03,-3.52,-3.37,0.4,17
LDOUSDT,QTUMUSDT,0.03,-3.51,-3.37,0.1,12
WLDUSDT,ZKJUSDT,0.01,-3.95,-3.37,2.11,11
ETHWUSDT,SEIUSDT,0.05,-3.37,-3.37,53.13,8
SANDUSDT,LDOUSDT,0.0,-4.94,-3.37,1.35,2
SANDUSDT,ARBUSDT,0.0,-4.55,-3.37,0.56,1
SANDUSDT,GALAUSDT,0.0,-4.65,-3.37,16.85,1
SANDUSDT,WLDUSDT,0.0,-4.89,-3.37,0.39,1
SANDUSDT,QTUMUSDT,0.01,-3.93,-3.37,0.1,1
SANDUSDT,GMTUSDT,0.01,-3.79,-3.37,1.19,1
LDOUSDT,CYBERUSDT,0.04,-3.4,-3.37,-0.16,0
SANDUSDT,CATIUSDT,0.0,-4.56,-3.37,-25.71,0
SANDUSDT,USDEUSDT,0.0,-4.61,-3.37,-192.84,0
SANDUSDT,ZKJUSDT,0.0,-5.97,-3.37,-8.4,0
SANDUSDT,APEXUSDT,0.01,-3.84,-3.37,0.22,0
LDOUSDT,ZKJUSDT,0.02,-3.75,-3.37,-2.44,0
SANDUSDT,NOTUSDT,0.01,-4.0,-3.37,-217.96,0
LDOUSDT,USDEUSDT,0.03,-3.54,-3.37,-52.61,0
SANDUSDT,TAIKOUSDT,0.0,-4.81,-3.37,-0.38,0
SANDUSDT,1INCHUSDT,0.01,-3.95,-3.37,-0.49,0
SANDUSDT,JASMYUSDT,0.0,-4.21,-3.37,-13.04,0
SANDUSDT,TWTUSDT,0.0,-5.0,-3.37,0.12,0
SANDUSDT,THETAUSDT,0.0,-5.05,-3.37,0.06,0
APEUSDT,TRXUSDT,0.0,-4.54,-3.37,-335.29,0
LDOUSDT,WLDUSDT,0.01,-3.77,-3.37,0.12,0
ALGOUSDT,SSVUSDT,0.02,-3.75,-3.37,0.05,0
LDOUSDT,AEVOUSDT,0.01,-4.0,-3.37,0.12,0
ALGOUSDT,APEXUSDT,0.03,-3.56,-3.37,-0.58,0
FTMUSDT,APEXUSDT,0.01,-3.8,-3.37,-0.43,0
SANDUSDT,AEVOUSDT,0.0,-4.99,-3.37,-0.07,0
ETHWUSDT,GALAUSDT,0.01,-4.09,-3.37,-270.18,0
LDOUSDT,WOOUSDT,0.02,-3.73,-3.37,-22.45,0
